questionType,questionText,questionMark,questionImg,audioFile,answer1,isCorrect1,answer2,isCorrect2,answer3,isCorrect3,answer4,isCorrect4
multiple_choice,Đây là câu hỏi mẫu?,1,https://example.com/image1.jpg,https://example.com/audio1.mp3,Đáp án A,1,Đáp án B,0,Đáp án C,0,Đáp án D,0
multiple_choice,Câu hỏi thứ hai?,0.5,,,Lựa chọn 1,0,Lựa chọn 2,1,Lựa chọn 3,0,Lựa chọn 4,0
multiple_choice,다음 중 '안녕하세요'의 의미로 알맞은 것을 고르십시오.,1,,,Xin chào,1,Tạm biệt,0,Cảm ơn,0,Xin lỗi,0
multiple_choice,한국어로 '감사합니다'는 무슨 뜻입니까?,1,,,Xin chào,0,Tạm biệt,0,Cảm ơn,1,Xin lỗi,0
multiple_choice,'저는 베트남 사람입니다.'의 뜻으로 알맞은 것을 고르십시오.,1,,,Tôi là người Việt Nam,1,Anh ấy là người Hàn Quốc,0,Cô ấy là người Nhật,0,Họ là người Mỹ,0
multiple_choice,다음 중 숫자 '삼십'(30)을 고르십시오.,1,,,10,0,20,0,30,1,40,0
multiple_choice,'학교'의 뜻으로 알맞은 것을 고르십시오.,1,,,Nhà,0,Trường học,1,Bệnh viện,0,Công ty,0
multiple_choice,한국어로 '주말'은 무슨 뜻입니까?,1,,,Buổi sáng,0,Buổi tối,0,Cuối tuần,1,Ngày thường,0
multiple_choice,'-습니다'는 어떤 종결어미입니까?,1,,,Kính ngữ,1,Thân mật,0,Không trang trọng,0,Mệnh lệnh,0
multiple_choice,'이것'의 반대말로 알맞은 것을 고르십시오.,1,,,저기,0,거기,0,그것,0,저것,1
multiple_choice,한국의 전통 옷은 무엇입니까?,1,,,기모노,0,치파오,0,한복,1,아오자이,0
multiple_choice,한국의 수도는 어디입니까?,1,,,부산,0,서울,1,인천,0,대구,0
multiple_choice,'먹다'의 과거형으로 알맞은 것을 고르십시오.,1,,,먹습니다,0,먹었습니다,1,먹겠습니다,0,먹어요,0
multiple_choice,'안녕히 계세요'는 언제 사용합니까?,1,,,Khi đến,0,Khi về (người ở lại nói),1,Khi gặp nhau,0,Khi ngủ dậy,0
multiple_choice,한국의 대표적인 음식이 아닌 것은?,1,,,김치,0,비빔밥,0,스시,1,불고기,0
multiple_choice,'책상 위에 책이 있습니다.'에서 조사 '위에'의 의미는?,1,,,Dưới,0,Trên,1,Trong,0,Ngoài,0
multiple_choice,'가다'의 반대말로 알맞은 것을 고르십시오.,1,,,오다,1,먹다,0,자다,0,보다,0
multiple_choice,저는 영국 사람입니다. 친구는 중국 사람입니다.,1,,,가족,0,날짜,0,나라,1, 학교,0
multiple_choice,'-아/어서'는 어떤 의미로 사용됩니까?,1,,,Nguyên nhân / lý do,1,Mục đích,0,Sự lựa chọn,0,So sánh,0
multiple_choice,'기차가 출발한 지 10분 ____ 지하철역에 도착했습니다.'에 알맞은 말을 고르십시오.,1,,,동안,0,전에,0,후에,0,만에,1
multiple_choice,'친구에게 줄 선물을 샀습니다.'에서 '줄'의 문법적 기능은 무엇입니까?,1,,,관형사형,0,보어,0,목적어,0,관형절,1
multiple_choice,'비가 오면 나가지 마세요.'의 의미와 가장 가까운 것은?,1,,,비가 오니까 나가지 마세요.,0,비가 오기 때문에 나가세요.,0,비가 와도 나가세요.,0,비가 올 경우에는 나가지 마세요.,1
multiple_choice,'그 사람은 성실하고 책임감이 ___ 사람입니다.'에 들어갈 알맞은 말은?,1,,,있는,1,하는,0,가는,0,만드는,0
multiple_choice,오후에 약속이 있습니다. 민수 씨를 (     ).,1,,,만납니다,1,찍습니다,0,배웁니다,0,모릅니다,0
multiple_choice,이것은 제 가방이 아닙니다. 동생(     ) 가방입니다.,1,,,의,1,도,0,만,0,을,0
multiple_choice,회사에 일이 많습니다. (     ) 바쁩니다.,1,,,아주,1,빨리,0,아까,0,먼저,0
multiple_choice,오늘은 제 생일입니다. 집에 친구들을 (     ).,1,,,초대했습니다,1,도와줬습니다,0,기다렸습니다,0,보냈습니다,0
multiple_choice,다음을 읽고 맞지 않는 것을 고르십시오.,1,https://res.cloudinary.com/dchi76opz/image/upload/v1746408774/courses/courses/1746408772723_494362453_1034813528095984_2576024143955522240_n.png.png,,천 원에 팝니다.,0,구월까지 합니다.,1,주말에는 못 먹습니다.,0,학생 식당에서 먹습니다.,0
multiple_choice,다음을 읽고 맞지 않는 것을 고르십시오.,1,https://res.cloudinary.com/dchi76opz/image/upload/v1746408784/courses/courses/1746408783204_494820988_1026568382758748_784803949937652519_n.png.png,,지영 씨는 바빴습니다.,0,수미 씨는 지영 씨를 만날 겁니다.,0,수미 씨는 졸업 선물을 샀습니다.,1,지영 씨는 선물을 사러 갈 겁니다.,0
multiple_choice,우리 집 근처에 빵집이 하나 있습니다. 그 빵집은 케이크가 싸고 맛있습니다. 저는 케이크를 좋아해서 거기에 자주 갑니다.,1,,,빵집이 집에서 멉니다.,0,저는 빵집에 자주 갑니다.,1,저는 케이크를 싫어합니다.,0,케이크가 비싸지만 맛있습니다.,0
multiple_choice,저는 1년 동안 K-POP 춤을 배웠습니다. 매일 연습해서 지금은 잘 춥니다. 이번 달에는 K-POP 춤 대회에도 나갑니다.,1,,,저는 K-POP 춤을 잘 춥니다.,1,저는 춤 연습을 못 했습니다.,0,저는 한 달 동안 춤을 배웠습니다.,0,저는 다음 달에 춤 대회에 나갑니다.,0
multiple_choice,저는 그릇 모으는 것이 취미입니다. 그래서 저는 예쁜 그릇을 볼 때마다 삽니다. 지난 주말에는 백화점에서 꽃 모양 접시를 샀습니다.,1,,,저는 취미가 없습니다.,0,저는 예쁜 그릇을 보면 삽니다.,1,저는 백화점에서 컵을 샀습니다.,0,저는 지난 주말에 밖에 안 나갔습니다.,0
multiple_choice,"저는 주말에 형과 바다낚시를 다녀왔습니다. 우리는 배를 타고 낚시를 했습니다. 저는 낚시가 처음이었습니다. 그래서 형이 낚시하는 방법을 가르쳐 주었습니다. 형은 물고기를 많이 ( ㉠ ) 저는 못 잡았습니다. 다음에는 저도 물고기를 잡고 싶습니다. 다음을 읽고 ㉠에 들어갈 말로 가장 알맞은 것을 고르십시오.
   ",1,,,잡으면,0,잡으러,0,잡았지만,1,잡았거나,0
multiple_choice,저는 주말에 형과 바다낚시를 다녀왔습니다. 우리는 배를 타고 낚시를 했습니다. 저는 낚시가 처음이었습니다. 그래서 형이 낚시하는 방법을 가르쳐 주었습니다. 형은 물고기를 많이 ( ㉠ ) 저는 못 잡았습니다. 다음에는 저도 물고기를 잡고 싶습니다.윗글의 내용과 같은 것을 고르십시오.,1,,,저는 낚시를 자주 합니다.,0,저는 혼자서 배를 탔습니다.,0,저는 물고기를 많이 잡았습니다.,0,저는 형에게서 낚시를 배웠습니다.,1
multiple_choice,저는 매일 아침에 운동을 합니다. 운동을 하면 하루가 상쾌하게 시작됩니다.,1,,,저는 운동을 좋아하지 않습니다.,0,저는 저녁마다 운동을 합니다.,0,저는 운동을 하면 기분이 좋습니다.,1,저는 아침에 늦게 일어납니다.,0
multiple_choice,우리 가족은 주말마다 공원에 갑니다. 공원에서 산책도 하고 사진도 찍습니다.,1,,,우리는 평일에 공원에 갑니다.,0,우리는 집에서 쉬는 것을 좋아합니다.,0,우리는 주말에 공원에 갑니다.,1,우리는 공원에서 운동만 합니다.,0
multiple_choice,오늘은 날씨가 매우 추워서 두꺼운 옷을 입고 나왔습니다.,1,,,오늘은 따뜻해서 얇은 옷을 입었습니다.,0,오늘은 비가 와서 우산을 썼습니다.,0,오늘은 추워서 두꺼운 옷을 입었습니다.,1,오늘은 더워서 반바지를 입었습니다.,0
multiple_choice,저는 커피를 좋아해서 하루에 세 잔 정도 마십니다.,1,,,저는 커피를 한 잔도 안 마십니다.,0,저는 커피를 자주 마십니다.,1,저는 차를 더 좋아합니다.,0,저는 커피를 마시면 잠이 옵니다.,0
multiple_choice,우리 학교는 도서관이 큽니다. 책도 많고 공부하기 좋습니다.,1,,,우리 학교에는 도서관이 없습니다.,0,도서관에서 공부하기 어렵습니다.,0,도서관이 작아서 불편합니다.,0,도서관이 커서 공부하기 좋습니다.,1
multiple_choice,점심에 김치찌개를 먹었습니다. 조금 매웠지만 맛있었습니다.,1,,,김치찌개가 달았습니다.,0,김치찌개를 먹지 않았습니다.,0,김치찌개가 매워서 못 먹었습니다.,0,김치찌개는 조금 맵지만 맛있었습니다.,1
multiple_choice,저는 한국어를 배우고 있습니다. 매일 단어를 외우고 문장을 연습합니다.,1,,,저는 한국어를 배우지 않습니다.,0,저는 한국어 문장을 연습하지 않습니다.,0,저는 단어를 외우고 문장을 연습합니다.,1,저는 영어를 공부하고 있습니다.,0
multiple_choice,저는 아침에 일찍 일어납니다. 그리고 운동을 합니다.,1,,,저는 아침에 늦게 일어납니다.,0,저는 운동을 하지 않습니다.,0,저는 아침에 일찍 일어나서 운동합니다.,1,저는 밤에 운동합니다.,0
multiple_choice,오늘은 날씨가 아주 덥습니다. 그래서 반팔을 입고 나왔습니다.,1,,,저는 추워서 두꺼운 옷을 입었습니다.,0,저는 반팔을 입었습니다.,1,오늘은 눈이 많이 왔습니다.,0,오늘은 날씨가 시원합니다.,0
multiple_choice,저는 매주 도서관에 갑니다. 책을 읽는 것을 좋아합니다.,1,,,저는 도서관에 가지 않습니다.,0,저는 매주 책을 읽습니다.,1,저는 영화를 보는 것을 좋아합니다.,0,저는 책을 싫어합니다.,0
multiple_choice,친구와 영화를 봤습니다. 아주 재미있었습니다.,1,,,영화가 재미없었습니다.,0,친구와 영화를 보지 않았습니다.,0,영화가 아주 재미있었습니다.,1,저는 혼자 영화를 봤습니다.,0
multiple_choice,저는 매일 아침에 커피를 마십니다. 커피를 마시면 기분이 좋아집니다.,1,,,저는 매일 저녁에 커피를 마십니다.,0,저는 커피를 마시지 않습니다.,0,저는 아침마다 커피를 마십니다.,1,저는 커피를 마시면 졸립니다.,0
multiple_choice,동생은 음악 듣는 것을 좋아합니다. 집에 있을 때 항상 음악을 듣습니다.,1,,,동생은 음악을 듣지 않습니다.,0,동생은 집에 있을 때 음악을 듣습니다.,1,동생은 음악을 싫어합니다.,0,동생은 밖에서만 음악을 듣습니다.,0
multiple_choice,주말에는 보통 친구를 만나거나 영화를 봅니다.,1,,,주말에는 항상 집에 있습니다.,0,주말에는 보통 친구를 만나거나 영화를 봅니다.,1,주말에는 공부만 합니다.,0,주말에는 일합니다.,0
multiple_choice,오늘 점심은 김밥을 먹었습니다. 아주 맛있었습니다.,1,,,오늘 아침에 김밥을 먹었습니다.,0,오늘 점심에 김밥을 먹었습니다.,1,오늘 점심은 맛이 없었습니다.,0,오늘 저녁은 김밥이었습니다.,0
multiple_choice,저는 매일 저녁에 산책을 합니다. 걷는 것이 건강에 좋습니다.,1,,,저는 매일 저녁에 TV를 봅니다.,0,저는 운동을 싫어합니다.,0,저는 산책을 합니다.,1,저는 아침에 산책을 합니다.,0
multiple_choice,수업이 끝난 후에 친구들과 카페에 갔습니다.,1,,,수업이 시작되기 전에 카페에 갔습니다.,0,혼자서 도서관에 갔습니다.,0,수업이 끝나고 카페에 갔습니다.,1,학교에 가지 않았습니다.,0
multiple_choice,할머니 댁에 다녀왔습니다. 할머니께서 맛있는 음식을 많이 해 주셨습니다.,1,,,할머니 댁에 가지 않았습니다.,0,할머니는 요리를 못하십니다.,0,할머니 댁에서 음식을 먹었습니다.,1,친구 집에 갔습니다.,0
